year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag
2016,12,13,7,12/13/2016 12:44,Android,59134,14706,No picture/link,No,No
2016,12,13,6,12/13/2016 11:57,Android,78055,18319,No picture/link,Yes,No
2016,12,13,6,12/13/2016 11:43,Android,77246,23238,No picture/link,No,No
2016,12,12,23,12/13/2016 4:41,Android,47402,10490,No picture/link,Yes,No
2016,12,12,23,12/13/2016 4:32,Android,43117,9738,No picture/link,No,No
2016,12,12,23,12/13/2016 4:26,Android,56157,12137,No picture/link,No,No
2016,12,12,19,12/13/2016 0:33,Android,63475,16765,No picture/link,No,No
2016,12,12,18,12/12/2016 23:40,Android,105422,29755,No picture/link,Yes,No
2016,12,12,17,12/12/2016 22:25,iPhone,27116,7831,Picture/link,No,Yes
2016,12,12,8,12/12/2016 13:26,Android,60407,16418,No picture/link,No,No
2016,12,12,8,12/12/2016 13:21,Android,60269,15861,No picture/link,No,No
2016,12,12,8,12/12/2016 13:17,Android,108629,34400,No picture/link,Yes,No
2016,12,11,20,12/12/2016 1:02,Android,72347,20013,No picture/link,Yes,No
2016,12,11,19,12/12/2016 0:32,Android,27972,5404,No picture/link,Yes,No
2016,12,11,10,12/11/2016 15:29,Android,52659,12352,No picture/link,Yes,No
2016,12,11,8,12/11/2016 13:51,Android,51280,9888,No picture/link,Yes,No
2016,12,11,8,12/11/2016 13:12,Android,79451,13150,No picture/link,Yes,No
2016,12,11,7,12/11/2016 12:56,Android,30282,5646,No picture/link,Yes,No
2016,12,10,14,12/10/2016 19:09,iPhone,27798,7256,Picture/link,Yes,No
2016,12,10,9,12/10/2016 14:14,iPhone,31642,12421,Picture/link,No,No
2016,12,10,9,12/10/2016 14:11,iPhone,75305,25306,No picture/link,Yes,No
2016,12,10,7,12/10/2016 12:38,Android,106735,18728,No picture/link,Yes,No
2016,12,10,6,12/10/2016 11:27,Android,49896,11308,No picture/link,Yes,No
2016,12,10,6,12/10/2016 11:19,Android,30241,7202,No picture/link,No,No
2016,12,9,22,12/10/2016 3:30,iPhone,38334,9166,Picture/link,Yes,No
2016,12,9,17,12/9/2016 22:13,iPhone,36504,9075,Picture/link,Yes,No
